,category,movie_id,year,count,mean,std
0,4,1,1996,8526.0,4.119751348815388,0.8880261728236842
1,2,2,1996,6900.0,3.5740579710144926,0.8859565612278095
2,1,3,1996,3303.0,3.424159854677566,0.9580466770317145
4,1,5,1996,4136.0,3.3452611218568666,0.9164580256038385
5,3,6,1996,6041.0,3.8150968382718093,0.8977956050250273
6,1,7,1996,3537.0,3.566864574498162,0.8735745545169815
9,1,10,1996,14326.0,3.455535390199637,0.8418866887876981
10,3,11,1996,7481.0,3.7962839192621307,0.8753560538337264
13,1,14,1996,2285.0,3.5050328227571117,0.953652789983537
15,3,16,1996,4209.0,3.6875742456640532,0.9004857335531518
16,3,17,1996,7013.0,4.10409239982889,0.9474206546018741
18,1,19,1996,7914.0,2.6416477129138234,1.1323239721420184
19,1,20,1996,1647.0,3.137826350941105,0.8844936007289591
21,1,22,1996,3889.0,3.5602982771920804,0.8302582234414755
22,1,23,1996,1980.0,3.3181818181818183,0.9140820312483806
23,1,24,1996,1755.0,3.484900284900285,0.9909366523659309
24,3,25,1996,6475.0,3.762779922779923,1.0469094786567672
30,1,31,1996,4088.0,3.454990215264188,0.8908800628718005
31,3,32,1996,11035.0,3.883552333484368,0.9149714785967864
33,1,34,1996,11500.0,3.8843478260869566,0.9996165282964345
35,3,36,1996,6071.0,4.112996211497282,0.8972302794992068
38,1,39,1996,9279.0,3.440349175557711,0.9327883589070592
43,1,44,1996,3631.0,3.014596529881575,1.0458136911328695
44,1,45,1996,3426.0,3.372446001167542,0.952102384010259
47,1,48,1996,4039.0,3.2230750185689527,0.9837724200293708
49,4,50,1996,10169.0,4.295899301799587,0.850824506442825
51,1,52,1996,2505.0,3.663473053892216,0.8890772634388266
57,3,58,1996,2907.0,4.176814585483316,0.916529651015821
59,1,60,1996,2135.0,3.4023419203747074,0.9334430753302374
61,1,62,1996,6982.0,3.9878258378688054,0.9382881452369388
78,1,79,1996,1732.0,3.3060046189376444,0.9619621628482155
93,1,95,1996,7894.0,3.3754750443374717,0.9118705579348683
102,2,104,1996,2328.0,3.5012886597938144,1.1074611464121313
103,1,105,1996,3847.0,3.587990642058747,1.0322371646743669
108,3,110,1996,14847.0,4.2457735569475314,0.8965097759860363
109,4,111,1996,4242.0,4.104196133899104,0.8940508277115004
110,1,112,1996,3378.0,3.6521610420367083,0.9528861795542055
120,1,122,1996,1891.0,2.98783712321523,0.8785269820063593
138,1,140,1996,1570.0,3.5089171974522295,0.9561365186076791
139,1,141,1996,7691.0,3.701339227668704,0.9609390864943191
142,1,144,1996,1578.0,3.628643852978454,0.9219321945602929
143,1,145,1996,3066.0,3.3776908023483365,0.9250252941086653
148,3,150,1996,24455.0,4.001349417297076,0.8508400697497145
149,1,151,1996,5815.0,3.659501289767842,0.9245544444952778
151,1,153,1996,20728.0,3.1301620995754535,0.8603122383514018
156,1,158,1996,4745.0,3.320337197049526,0.8688306309998276
