,category,movie_id,year,count,mean,std,type,gen,film,winner,budget,company,country,director,gross,rating,runtime,imdb_rating,star,imdb_votes_num,writer,imdb_genre,company_gross,director_gross,star_gross,writer_gross
0,3,1,1996,8526,4.119751348815388,0.8880261728236842,train,"['Adventure', 'Children', 'Fantasy']",Jumanji,,50000000.0,TriStar Pictures,USA,Joe Johnston,100475249.0,PG,104.0,6.9,Robin Williams,232339.0,Jonathan Hensleigh,Action,1540368926.0,277903477.0,610155945.0,200487748.0
1,1,2,1996,6900,3.5740579710144926,0.8859565612278095,train,"['Comedy', 'Romance']",Grumpier Old Men,,25000000.0,Lancaster Gate,USA,Howard Deutch,69870000.0,PG-13,101.0,6.6,Walter Matthau,20718.0,Mark Steven Johnson,Comedy,69870000.0,195164984.0,122782590.0,140042621.0
2,1,3,1996,3303,3.4241598546775665,0.9580466770317144,train,"['Comedy', 'Drama', 'Romance']",Waiting to Exhale,,16000000.0,Twentieth Century Fox Film Corporation,USA,Forest Whitaker,67052156.0,R,124.0,5.7,Whitney Houston,7977.0,Terry McMillan,Comedy,2345456452.0,67052156.0,67052156.0,67052156.0
3,1,4,1996,1364,3.0491202346041058,1.1173640977701538,train,['Comedy'],Father of the Bride Part II,,30000000.0,Sandollar Productions,USA,Charles Shyer,76594000.0,PG,106.0,5.9,Steve Martin,28658.0,Albert Hackett,Comedy,81287236.0,223438450.0,581385078.0,76594000.0
4,1,5,1996,4136,3.345261121856866,0.9164580256038384,train,"['Action', 'Crime', 'Thriller']",Heat,,17000000.0,Escalante Productions,USA,Dick Richards,2793214.0,R,101.0,5.5,Burt Reynolds,1358.0,William Goldman,Action,2793214.0,2793214.0,43476427.0,36442543.0
5,1,5,1996,4136,3.345261121856866,0.9164580256038384,train,"['Action', 'Crime', 'Thriller']",Heat,,60000000.0,Warner Bros.,USA,Michael Mann,67436818.0,R,170.0,8.2,Al Pacino,470080.0,Michael Mann,Action,4068025902.0,151563603.0,327043367.0,67436818.0
6,3,6,1996,6041,3.815096838271809,0.8977956050250273,train,"['Comedy', 'Romance']",Sabrina,1.0,58000000.0,Constellation Entertainment,Germany,Sydney Pollack,53672080.0,PG,127.0,6.3,Harrison Ford,31451.0,Samuel A. Taylor,Comedy,53672080.0,221263587.0,801440143.0,53672080.0
7,3,7,1996,3537,3.566864574498162,0.8735745545169815,train,"['Adventure', 'Children']",Tom and Huck,,0.0,Walt Disney Pictures,USA,Peter Hewitt,23735802.0,PG,97.0,5.6,Jonathan Taylor Thomas,8150.0,Mark Twain,Adventure,1627772718.0,61773315.0,23735802.0,47839396.0
8,1,8,1996,589,3.370118845500849,0.9665441732859136,train,['Action'],Sudden Death,,35000000.0,Universal Pictures,USA,Peter Hyams,20350171.0,R,111.0,5.7,Jean-Claude Van Damme,27472.0,Karen Elise Baldwin,Action,3501692853.0,145350358.0,297409870.0,20350171.0
9,1,9,1996,1490,3.2248322147651005,0.8931051498185599,train,"['Action', 'Adventure', 'Thriller']",GoldenEye,,60000000.0,Eon Productions,UK,Martin Campbell,106600000.0,PG-13,130.0,7.2,Pierce Brosnan,209588.0,Ian Fleming,Action,157785897.0,138327821.0,108570508.0,106600000.0
10,3,10,1996,14326,3.455535390199637,0.8418866887876981,train,"['Comedy', 'Drama', 'Romance']","American President, The",,,,,,,,,,,,,,0.0,0.0,0.0,0.0
11,3,11,1996,7481,3.7962839192621303,0.8753560538337264,train,"['Comedy', 'Horror']",Dracula: Dead and Loving It,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
12,1,12,1996,861,2.7235772357723578,1.0773629422969189,train,"['Adventure', 'Animation', 'Children']",Balto,,0.0,Amblimation,USA,Simon Wells,11268750.0,G,100.0,7.1,Kevin Bacon,32984.0,Cliff Ruby,Animation,11268750.0,11268750.0,83449828.0,11268750.0
13,4,13,1996,343,3.326530612244898,0.9388131293800741,train,['Drama'],Nixon,0.0,50000000.0,Cinergi Pictures Entertainment,USA,Oliver Stone,13560960.0,R,192.0,7.1,Anthony Hopkins,25426.0,Stephen J. Rivele,Biography,157627597.0,431146900.0,94933749.0,13560960.0
14,3,14,1996,2285,3.505032822757112,0.9536527899835371,train,"['Action', 'Adventure', 'Romance']",Cutthroat Island,,98000000.0,Beckner/Gorman Productions,USA,Renny Harlin,10017322.0,PG-13,124.0,5.6,Geena Davis,22527.0,Michael Frost Beckner,Action,10017322.0,286133605.0,23331933.0,29011975.0
15,1,15,1996,1170,3.0145299145299145,1.0327208705417528,train,"['Crime', 'Drama']",Casino,0.0,52000000.0,Universal Pictures,France,Martin Scorsese,42438300.0,R,178.0,8.2,Robert De Niro,367532.0,Nicholas Pileggi,Crime,3501692853.0,260499240.0,358850684.0,89274694.0
